iso_time,elapsed_s,gpu0_mem_used_mib,gpu0_util_pct,gpu_others_mem_mib,target_rss_mib,target_vmhwm_mib,host_load1,cpu_cores_busy
2026-08-12T09:30:09Z,0,0,0,0,NA,NA,5.25,NA
2026-08-12T09:30:19Z,11,0,0,0,NA,NA,4.52,NA
2026-08-12T09:30:30Z,21,0,0,0,NA,NA,3.82,NA
2026-08-12T09:30:40Z,32,0,0,0,NA,NA,3.31,NA
2026-08-12T09:30:50Z,42,425,0,850,5206,5254,2.80,NA
2026-08-12T09:31:00Z,52,7791,2,850,15587,15610,2.53,7.2
2026-08-12T09:31:11Z,62,7791,36,850,21103,21103,2.29,3.4
2026-08-12T09:31:21Z,73,7791,38,850,21108,21108,2.09,1.1
2026-08-12T09:31:31Z,83,7791,33,850,21108,21108,1.92,1.3
2026-08-12T09:31:41Z,93,7791,21,850,21108,21108,1.78,1.3
2026-08-12T09:31:51Z,103,8815,38,850,21108,21108,1.74,1.2
2026-08-12T09:32:02Z,113,8815,38,850,21108,21108,1.63,1.3
2026-08-12T09:32:12Z,124,8815,38,850,21108,21108,1.57,1.1
2026-08-12T09:32:22Z,134,8815,30,850,14705,21108,3.96,7.2
2026-08-12T09:32:32Z,144,8815,32,850,14705,21108,8.43,26.1
2026-08-12T09:32:43Z,154,8815,34,850,14705,21108,7.29,26.0
2026-08-12T09:32:53Z,165,8815,32,850,14705,21108,11.09,23.8
2026-08-12T09:33:03Z,175,8815,27,850,14705,21108,9.54,26.0
2026-08-12T09:33:13Z,185,8815,31,850,14705,21108,8.22,26.3
2026-08-12T09:33:23Z,195,8815,28,850,14705,21108,11.88,26.2
2026-08-12T09:33:34Z,205,8815,32,850,14705,21108,14.97,26.4
2026-08-12T09:33:44Z,216,8815,29,850,14705,21108,15.31,23.9
2026-08-12T09:33:54Z,226,8815,33,850,14705,21108,17.88,26.3
2026-08-12T09:34:04Z,236,8815,32,850,14705,21108,17.56,26.3
2026-08-12T09:34:15Z,246,8815,32,850,14705,21108,17.30,26.2
2026-08-12T09:34:25Z,257,8815,27,850,14705,21108,18.28,24.8
2026-08-12T09:34:35Z,267,8815,31,850,14705,21108,20.39,26.3
2026-08-12T09:34:46Z,277,8815,32,850,14705,21108,22.18,26.3
2026-08-12T09:34:56Z,288,8815,32,850,14717,21108,23.69,23.9
2026-08-12T09:35:06Z,298,8815,30,850,14718,21108,24.97,26.4
2026-08-12T09:35:16Z,308,8815,2,850,14718,21108,23.56,14.1
2026-08-12T09:35:27Z,318,8815,2,850,14718,21108,24.94,6.2
2026-08-12T09:35:37Z,329,8815,2,850,14718,21108,21.25,5.6
2026-08-12T09:35:47Z,339,8815,2,850,14718,21108,16.85,6.5
2026-08-12T09:35:57Z,349,8815,2,850,14718,21108,14.41,6.2
2026-08-12T09:36:07Z,359,8815,2,850,14718,21108,12.35,6.5
2026-08-12T09:36:18Z,370,8815,2,850,14718,21108,10.60,6.1
2026-08-12T09:36:28Z,380,8815,38,850,14718,21108,9.13,4.9
2026-08-12T09:36:38Z,390,8815,36,850,14718,21108,7.88,1.0
2026-08-12T09:36:49Z,400,9839,35,850,22183,22183,9.30,8.6
2026-08-12T09:36:59Z,411,9839,39,850,44212,44212,10.51,8.8
2026-08-12T09:37:09Z,421,9839,34,850,44258,44260,9.05,1.4
2026-08-12T09:37:19Z,431,9839,32,850,44259,44260,7.81,1.4
2026-08-12T09:37:30Z,441,9839,42,850,44258,44260,6.76,1.2
